,FullName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,Item,Footprint,Cluster_ID
1283,pace chipotle chunky salsa,0.027716186,0,0,0.0625,0.062625251,0.058270677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,avocado,0.9975,118
1284,pace cilantro chunky salsa,0.027716186,0,0,0.0625,0.062625251,0.058270677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,avocado,0.9975,118
1285,pace diced green chilies,0.029933481,0,0,0.0667,0.033366733,0.062030075,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,green beans frozen,2.741769912,118
1286,pace dry taco seasoning mix,0.208425721,0,0,0.5629,0.187975952,0.353383459,0,0,0,0.01875,0,0,0,0,0,0,0,0.05461165,0,0,0,0,0,mayonnaise,2.04,73
1287,pace enchilada sauce,0.044345898,0.019509346,0,0.0833,0.066833667,0.031954887,0,0,0,0.000833333,0,0,0,0,0,0,0,0.004854369,0,0,0,0,0,ketchup,1.464,29
1288,pace green taco sauce,0.027716186,0,0,0.0625,0.062625251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ketchup,1.464,121
1289,pace jalapenos nacho sliced peppers,0.014412417,0,0,0.0333,0.033366733,0.062030075,0,0,0,0.005,0,0,0,0,0,0.011438652,0,0,0,0,0,0,0,olives,0.586405556,98
1290,pace lime and garlic chunky salsa,0.042128603,0,0,0.0938,0.062625251,0.058270677,0,0,0,0.002333333,0,0,0,0,0,0,0,0,0,0,0,0,0,tomato and basil,1.1465,29
1291,pace organic picante sauce,0.027716186,0,0,0.0625,0.062625251,0.058270677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ketchup,1.464,118
1292,pace picante sauce,0.027716186,0,0,0.0625,0.062625251,0.058270677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ketchup,1.464,118
1293,pace pico de gallo,0.034368071,0,0,0.0938,0.062625251,0,0,0,0,0.001583333,0,0,0,0,0,0,0,0,0,0,0,0,0,plum,0.270666667,53
1294,pace red taco sauce,0.055432373,0,0,0.125,0.062625251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wine red,1.020266667,8
1295,pace salsa refried beans,0.066518847,0.038901869,0,0.1167,0.033366733,0.062030075,0,0,0,0,0,0,0,0,0,0.005633963,0,0.007281553,0,0,0,0,0,green beans frozen,2.741769912,17
1296,pace salsa verde,0.05210643,0,0.0156,0.0625,0.062625251,0,0,0,0,0.001583333,0,0,0,0,0,0,0,0,0,0,0,0,0,avocado,0.9975,121
